ts,cpu_request,mem_request,oom,nodeid
1718974247,0,0,0,0
1718974547,0,0,0,0
1718974847,0,0,0,0
1718975147,0,0,0,0
1718975447,0,0,0,0
1718975747,0,0,0,0
1718976047,0,0,0,0
1718976347,0,0,0,0
1718976647,0,0,0,0
1718976947,0,0,0,0
1718977247,0,0,0,0
1718977547,0,0,0,0
1718977847,0,0,0,0
1718978147,0,0,0,0
1718978447,0,0,0,0
1718978747,0,0,0,0
1718979047,0,0,0,0
1718979347,0,0,0,0
1718979647,0,0,0,0
1718979947,0,0,0,0
1718980247,0,0,0,0
1718980547,0,0,0,0
1718980847,0,0,0,0
1718981147,0,0,0,0
1718981447,0,0,0,0
1718981747,0,0,0,0
1718982047,0,0,0,0
1718982347,0,0,0,0
1718982647,0,0,0,0
1718982947,0,0,0,0
1718983247,0,0,0,0
1718983547,0,0,0,0
1718983847,0,0,0,0
1718984147,0,0,0,0
1718984447,0,0,0,0
1718984747,0,0,0,0
1718985047,0,0,0,0
1718985347,0,0,0,0
1718985647,0,0,0,0
1718985947,0,0,0,0
1718986247,0,0,0,0
1718986547,0,0,0,0
1718986847,0,0,0,0
1718987147,0,0,0,0
1718987447,0,0,0,0
1718987747,0,0,0,0
1718988047,0,0,0,0
1718988347,0,0,0,0
1718988647,0,0,0,0
1718988947,0,0,0,0
1718989247,0,0,0,0
1718989547,0,0,0,0
1718989847,0,0,0,0
1718990147,0,0,0,0
1718990447,0,0,0,0
1718990747,0,0,0,0
1718991047,0,0,0,0
1718991347,0,0,0,0
1718991647,0,0,0,0
1718991947,0,0,0,0
1718992247,0,0,0,0
1718992547,0,0,0,0
1718992847,0,0,0,0
1718993147,0,0,0,0
1718993447,0,0,0,0
1718993747,0,0,0,0
1718994047,0,0,0,0
1718994347,0,0,0,0
1718994647,0,0,0,0
1718994947,0,0,0,0
1718995247,0,0,0,0
1718995547,0,0,0,0
1718995847,0,0,0,0
1718996147,0,0,0,0
1718996447,0,0,0,0
1718996747,0,0,0,0
1718997047,0,0,0,0
1718997347,0,0,0,0
1718997647,0,0,0,0
1718997947,0,0,0,0
1718998247,0,0,0,0
1718998547,0,0,0,0
1718998847,0,0,0,0
1718999147,0,0,0,0
1718999447,0,0,0,0
1718999747,0,0,0,0
1719000047,0,0,0,0
1719000347,0,0,0,0
1719000647,0,0,0,0
1719000947,0,0,0,0
1719001247,0,0,0,0
1719001547,0,0,0,0
1719001847,0,0,0,0
1719002147,0,0,0,0
1719002447,0,0,0,0
1719002747,0,0,0,0
1719003047,0,0,0,0
1719003347,0,0,0,0
1719003647,0,0,0,0
1719003947,0,0,0,0
1719004247,0,0,0,0
1719004547,0,0,0,0
1719004847,0,0,0,0
1719005147,0,0,0,0
1719005447,0,0,0,0
1719005747,0,0,0,0
1719006047,0,0,0,0
1719006347,0,0,0,0
1719006647,0,0,0,0
1719006947,0,0,0,0
1719007247,0,0,0,0
1719007547,0,0,0,0
1719007847,0,0,0,0
1719008147,0,0,0,0
1719008447,0,0,0,0
1719008747,0,0,0,0
1719009047,0,0,0,0
1719009347,0,0,0,0
1719009647,0,0,0,0
1719009947,0,0,0,0
1719010247,0,0,0,0
1719010547,0,0,0,0
1719010847,0,0,0,0
1719011147,0,0,0,0
1719011447,0,0,0,0
1719011747,0,0,0,0
1719012047,0,0,0,0
1719012347,0,0,0,0
1719012647,0,0,0,0
1719012947,0,0,0,0
1719013247,0,0,0,0
1719013547,0,0,0,0
1719013847,0,0,0,0
1719014147,0,0,0,0
1719014447,0,0,0,0
1719014747,0,0,0,0
1719015047,0,0,0,0
1719015347,0,0,0,0
1719015647,0,0,0,0
1719015947,0,0,0,0
1719016247,0,0,0,0
1719016547,0,0,0,0
1719016847,0,0,0,0
1719017147,0,0,0,0
1719017447,0,0,0,0
1719017747,0,0,0,0
1719018047,0,0,0,0
1719018347,0,0,0,0
1719018647,0,0,0,0
1719018947,0,0,0,0
1719019247,0,0,0,0
1719019547,0,0,0,0
1719019847,0,0,0,0
1719020147,0,0,0,0
1719020447,0,0,0,0
1719020747,0,0,0,0
1719021047,0,0,0,0
1719021347,0,0,0,0
1719021647,0,0,0,0
1719021947,0,0,0,0
1719022247,0,0,0,0
1719022547,0,0,0,0
1719022847,0,0,0,0
1719023147,0,0,0,0
1719023447,0,0,0,0
1719023747,0,0,0,0
1719024047,0,0,0,0
1719024347,0,0,0,0
1719024647,0,0,0,0
1719024947,0,0,0,0
1719025247,0,0,0,0
1719025547,0,0,0,0
1719025847,0,0,0,0
1719026147,0,0,0,0
1719026447,0,0,0,0
1719026747,0,0,0,0
1719027047,0,0,0,0
1719027347,0,0,0,0
1719027647,0,0,0,0
1719027947,0,0,0,0
1719028247,0,0,0,0
1719028547,0,0,0,0
1719028847,0,0,0,0
1719029147,0,0,0,0
1719029447,0,0,0,0
1719029747,0,0,0,0
1719030047,0,0,0,0
1719030347,0,0,0,0
1719030647,0,0,0,0
1719030947,0,0,0,0
1719031247,0,0,0,0
1719031547,0,0,0,0
1719031847,0,0,0,0
1719032147,0,0,0,0
1719032447,0,0,0,0
1719032747,0,0,0,0
1719033047,0,0,0,0
1719033347,0,0,0,0
1719033647,0,0,0,0
1719033947,0,0,0,0
1719034247,0,0,0,0
1719034547,0,0,0,0
1719034847,0,0,0,0
1719035147,0,0,0,0
1719035447,0,0,0,0
1719035747,0,0,0,0
1719036047,0,0,0,0
1719036347,0,0,0,0
1719036647,0,0,0,0
1719036947,0,0,0,0
1719037247,0,0,0,0
1719037547,0,0,0,0
1719037847,0,0,0,0
1719038147,0,0,0,0
1719038447,0,0,0,0
1719038747,0,0,0,0
1719039047,0,0,0,0
1719039347,0,0,0,0
1719039647,0,0,0,0
1719039947,0,0,0,0
1719040247,0,0,0,0
1719040547,0,0,0,0
1719040847,0,0,0,0
1719041147,0,0,0,0
1719041447,0,0,0,0
1719041747,0,0,0,0
1719042047,0,0,0,0
1719042347,0,0,0,0
1719042647,0,0,0,0
1719042947,0,0,0,0
1719043247,0,0,0,0
1719043547,0,0,0,0
1719043847,0,0,0,0
1719044147,0,0,0,0
1719044447,0,0,0,0
1719044747,0,0,0,0
1719045047,0,0,0,0
1719045347,0,0,0,0
1719045647,0,0,0,0
1719045947,0,0,0,0
1719046247,0,0,0,0
1719046547,0,0,0,0
1719046847,0,0,0,0
1719047147,0,0,0,0
1719047447,0,0,0,0
1719047747,0,0,0,0
1719048047,0,0,0,0
1719048347,0,0,0,0
1719048647,0,0,0,0
1719048947,0,0,0,0
1719049247,0,0,0,0
1719049547,0,0,0,0
1719049847,0,0,0,0
1719050147,0,0,0,0
1719050447,0,0,0,0
1719050747,0,0,0,0
1719051047,0,0,0,0
1719051347,0,0,0,0
1719051647,0,0,0,0
