ts,cpu_request,mem_request,oom,nodeid
1719068625,0.195,308018134,0,1
1719068626,0.195,308018134,0,1
1719068627,0.195,308018134,0,1
1719068628,0.195,308018134,0,1
1719068629,0.195,308018134,0,1
1719068630,0.195,308018134,0,1
1719068631,0.195,308018134,0,1
1719068632,0.195,308018134,0,1
1719068633,0.195,308018134,0,1
1719068634,0.195,308018134,0,1
1719068635,0.195,308018134,0,1
1719068636,0.195,308018134,0,1
1719068637,0.195,308018134,0,1
1719068638,0.195,308018134,0,1
1719068639,0.195,308018134,0,1
1719068640,0.195,308018134,0,1
1719068641,0.195,308018134,0,1
1719068642,0.195,308018134,0,1
1719068643,0.195,308018134,0,1
1719068644,0.195,308018134,0,1
1719068645,0.195,308018134,0,1
1719068646,0.195,308018134,0,1
1719068647,0.195,308018134,0,1
1719068648,0.195,308018134,0,1
1719068649,0.195,308018134,0,1
1719068650,0.195,308018134,0,1
1719068651,0.195,308018134,0,1
1719068652,0.195,308018134,0,1
1719068653,0.195,308018134,0,1
1719068654,0.195,308018134,0,1
1719068655,0.195,308018134,0,1
1719068656,0.195,308018134,0,1
1719068657,0.195,308018134,0,1
1719068658,0.195,308018134,0,1
1719068659,0.195,308018134,0,1
1719068660,0.195,308018134,0,1
1719068661,0.195,308018134,0,1
1719068662,0.195,308018134,0,1
1719068663,0.195,308018134,0,1
1719068664,0.195,308018134,0,1
1719068665,0.195,308018134,0,1
1719068666,0.195,308018134,0,1
1719068667,0.195,308018134,0,1
1719068668,0.195,308018134,0,1
1719068669,0.195,308018134,0,1
1719068670,0.195,308018134,0,1
1719068671,0.195,308018134,0,1
1719068672,0.195,308018134,0,1
1719068673,0.195,308018134,0,1
1719068674,0.195,308018134,0,1
1719068675,0.195,308018134,0,1
1719068676,0.195,308018134,0,1
1719068677,0.195,308018134,0,1
1719068678,0.195,308018134,0,1
1719068679,0.195,308018134,0,1
1719068680,0.195,308018134,0,1
1719068681,0.195,308018134,0,1
1719068682,0.195,308018134,0,1
1719068683,0.195,308018134,0,1
1719068684,0.195,308018134,0,1
1719068685,0.195,308018134,0,1
1719068686,0.195,308018134,0,1
1719068687,0.195,308018134,0,1
1719068688,0.195,308018134,0,1
1719068689,0.195,308018134,0,1
1719068690,0.195,308018134,0,1
1719068691,0.195,308018134,0,1
1719068692,0.195,308018134,0,1
1719068693,0.195,308018134,0,1
1719068694,0.195,308018134,0,1
1719068695,0.195,308018134,0,1
1719068696,0.195,308018134,0,1
1719068697,0.195,308018134,0,1
1719068698,0.195,308018134,0,1
1719068699,0.195,308018134,0,1
1719068700,0.195,308018134,0,1
1719068701,0.195,308018134,0,1
1719068702,0.195,308018134,0,1
1719068703,0.195,308018134,0,1
1719068704,0.195,308018134,0,1
1719068705,0.195,308018134,0,1
1719068706,0.195,308018134,0,1
1719068707,0.195,308018134,0,1
1719068708,0.195,308018134,0,1
1719068709,0.195,308018134,0,1
1719068710,0.195,308018134,0,1
1719068711,0.195,308018134,0,1
1719068712,0.195,308018134,0,1
1719068713,0.195,308018134,0,1
1719068714,0.195,308018134,0,1
1719068715,0.195,308018134,0,1
1719068716,0.195,308018134,0,1
