ts,cpu_request,mem_request,oom,nodeid
1718974256,0,0,0,0
1718974556,0,0,0,0
1718974856,0,0,0,0
1718975156,0,0,0,0
1718975456,0,0,0,0
1718975756,0,0,0,0
1718976056,0,0,0,0
1718976356,0,0,0,0
1718976656,0,0,0,0
1718976956,0,0,0,0
1718977256,0,0,0,0
1718977556,0,0,0,0
1718977856,0,0,0,0
1718978156,0,0,0,0
1718978456,0,0,0,0
1718978756,0,0,0,0
1718979056,0,0,0,0
1718979356,0,0,0,0
1718979656,0,0,0,0
1718979956,0,0,0,0
1718980256,0,0,0,0
1718980556,0,0,0,0
1718980856,0,0,0,0
1718981156,0,0,0,0
1718981456,0,0,0,0
1718981756,0,0,0,0
1718982056,0,0,0,0
1718982356,0,0,0,0
1718982656,0,0,0,0
1718982956,0,0,0,0
1718983256,0,0,0,0
1718983556,0,0,0,0
1718983856,0,0,0,0
1718984156,0,0,0,0
1718984456,0,0,0,0
1718984756,0,0,0,0
1718985056,0,0,0,0
1718985356,0,0,0,0
1718985656,0,0,0,0
1718985956,0,0,0,0
1718986256,0,0,0,0
1718986556,0,0,0,0
1718986856,0,0,0,0
1718987156,0,0,0,0
1718987456,0,0,0,0
1718987756,0,0,0,0
1718988056,0,0,0,0
1718988356,0,0,0,0
1718988656,0,0,0,0
1718988956,0,0,0,0
1718989256,0,0,0,0
1718989556,0,0,0,0
1718989856,0,0,0,0
1718990156,0,0,0,0
1718990456,0,0,0,0
1718990756,0,0,0,0
1718991056,0,0,0,0
1718991356,0,0,0,0
1718991656,0,0,0,0
1718991956,0,0,0,0
1718992256,0,0,0,0
1718992556,0,0,0,0
1718992856,0,0,0,0
1718993156,0,0,0,0
1718993456,0,0,0,0
1718993756,0,0,0,0
1718994056,0,0,0,0
1718994356,0,0,0,0
1718994656,0,0,0,0
1718994956,0,0,0,0
1718995256,0,0,0,0
1718995556,0,0,0,0
1718995856,0,0,0,0
1718996156,0,0,0,0
1718996456,0,0,0,0
1718996756,0,0,0,0
1718997056,0,0,0,0
1718997356,0,0,0,0
1718997656,0,0,0,0
1718997956,0,0,0,0
1718998256,0,0,0,0
1718998556,0,0,0,0
1718998856,0,0,0,0
1718999156,0,0,0,0
1718999456,0,0,0,0
1718999756,0,0,0,0
1719000056,0,0,0,0
1719000356,0,0,0,0
1719000656,0,0,0,0
1719000956,0,0,0,0
1719001256,0,0,0,0
1719001556,0,0,0,0
1719001856,0,0,0,0
1719002156,0,0,0,0
1719002456,0,0,0,0
1719002756,0,0,0,0
1719003056,0,0,0,0
1719003356,0,0,0,0
1719003656,0,0,0,0
1719003956,0,0,0,0
1719004256,0,0,0,0
1719004556,0,0,0,0
1719004856,0,0,0,0
1719005156,0,0,0,0
1719005456,0,0,0,0
1719005756,0,0,0,0
1719006056,0,0,0,0
1719006356,0,0,0,0
1719006656,0,0,0,0
1719006956,0,0,0,0
1719007256,0,0,0,0
1719007556,0,0,0,0
1719007856,0,0,0,0
1719008156,0,0,0,0
1719008456,0,0,0,0
1719008756,0,0,0,0
1719009056,0,0,0,0
1719009356,0,0,0,0
1719009656,0,0,0,0
1719009956,0,0,0,0
1719010256,0,0,0,0
1719010556,0,0,0,0
1719010856,0,0,0,0
1719011156,0,0,0,0
1719011456,0,0,0,0
1719011756,0,0,0,0
1719012056,0,0,0,0
1719012356,0,0,0,0
1719012656,0,0,0,0
1719012956,0,0,0,0
1719013256,0,0,0,0
1719013556,0,0,0,0
1719013856,0,0,0,0
1719014156,0,0,0,0
1719014456,0,0,0,0
1719014756,0,0,0,0
1719015056,0,0,0,0
1719015356,0,0,0,0
1719015656,0,0,0,0
1719015956,0,0,0,0
1719016256,0,0,0,0
1719016556,0,0,0,0
1719016856,0,0,0,0
1719017156,0,0,0,0
1719017456,0,0,0,0
1719017756,0,0,0,0
1719018056,0,0,0,0
1719018356,0,0,0,0
1719018656,0,0,0,0
1719018956,0,0,0,0
1719019256,0,0,0,0
1719019556,0,0,0,0
1719019856,0,0,0,0
1719020156,0,0,0,0
1719020456,0,0,0,0
1719020756,0,0,0,0
1719021056,0,0,0,0
1719021356,0,0,0,0
1719021656,0,0,0,0
1719021956,0,0,0,0
1719022256,0,0,0,0
1719022556,0,0,0,0
1719022856,0,0,0,0
1719023156,0,0,0,0
1719023456,0,0,0,0
1719023756,0,0,0,0
1719024056,0,0,0,0
1719024356,0,0,0,0
1719024656,0,0,0,0
1719024956,0,0,0,0
1719025256,0,0,0,0
1719025556,0,0,0,0
1719025856,0,0,0,0
1719026156,0,0,0,0
1719026456,0,0,0,0
1719026756,0,0,0,0
1719027056,0,0,0,0
1719027356,0,0,0,0
1719027656,0,0,0,0
1719027956,0,0,0,0
1719028256,0,0,0,0
1719028556,0,0,0,0
1719028856,0,0,0,0
1719029156,0,0,0,0
1719029456,0,0,0,0
1719029756,0,0,0,0
1719030056,0,0,0,0
1719030356,0,0,0,0
1719030656,0,0,0,0
1719030956,0,0,0,0
1719031256,0,0,0,0
1719031556,0,0,0,0
1719031856,0,0,0,0
1719032156,0,0,0,0
1719032456,0,0,0,0
1719032756,0,0,0,0
1719033056,0,0,0,0
1719033356,0,0,0,0
1719033656,0,0,0,0
1719033956,0,0,0,0
1719034256,0,0,0,0
1719034556,0,0,0,0
1719034856,0,0,0,0
1719035156,0,0,0,0
1719035456,0,0,0,0
1719035756,0,0,0,0
1719036056,0,0,0,0
1719036356,0,0,0,0
1719036656,0,0,0,0
1719036956,0,0,0,0
1719037256,0,0,0,0
1719037556,0,0,0,0
1719037856,0,0,0,0
1719038156,0,0,0,0
1719038456,0,0,0,0
1719038756,0,0,0,0
1719039056,0,0,0,0
1719039356,0,0,0,0
1719039656,0,0,0,0
1719039956,0,0,0,0
1719040256,0,0,0,0
1719040556,0,0,0,0
1719040856,0,0,0,0
1719041156,0,0,0,0
1719041456,0,0,0,0
1719041756,0,0,0,0
1719042056,0,0,0,0
1719042356,0,0,0,0
1719042656,0,0,0,0
1719042956,0,0,0,0
1719043256,0,0,0,0
1719043556,0,0,0,0
1719043856,0,0,0,0
1719044156,0,0,0,0
1719044456,0,0,0,0
1719044756,0,0,0,0
1719045056,0,0,0,0
1719045356,0,0,0,0
1719045656,0,0,0,0
1719045956,0,0,0,0
1719046256,0,0,0,0
1719046556,0,0,0,0
1719046856,0,0,0,0
1719047156,0,0,0,0
1719047456,0,0,0,0
1719047756,0,0,0,0
1719048056,0,0,0,0
1719048356,0,0,0,0
1719048656,0,0,0,0
1719048956,0,0,0,0
1719049256,0,0,0,0
1719049556,0,0,0,0
1719049856,0,0,0,0
1719050156,0,0,0,0
1719050456,0,0,0,0
1719050756,0,0,0,0
1719051056,0,0,0,0
1719051356,0,0,0,0
1719051656,0,0,0,0
1719051956,0,0,0,0
1719052256,0,0,0,0
1719052556,0,0,0,0
1719052856,0,0,0,0
1719053156,0,0,0,0
1719053456,0,0,0,0
1719053756,0,0,0,0
1719054056,0,0,0,0
1719054356,0,0,0,0
1719054656,0,0,0,0
1719054956,0,0,0,0
1719055256,0,0,0,0
1719055556,0,0,0,0
1719055856,0,0,0,0
1719056156,0,0,0,0
1719056456,0,0,0,0
1719056756,0,0,0,0
1719057056,0,0,0,0
1719057356,0,0,0,0
1719057656,0,0,0,0
1719057956,0,0,0,0
1719058256,0,0,0,0
1719058556,0,0,0,0
1719058856,0,0,0,0
1719059156,0,0,0,0
1719059456,0,0,0,0
1719059756,0,0,0,0
1719060056,0,0,0,0
1719060356,0,0,0,0
1719060656,0,0,0,0
1719060956,0,0,0,0
1719061256,0,0,0,0
1719061556,0,0,0,0
1719061856,0,0,0,0
1719062156,0,0,0,0
1719062456,0,0,0,0
1719062756,0,0,0,0
1719063056,0,0,0,0
1719063356,0,0,0,0
1719063656,0,0,0,0
1719063956,0,0,0,0
1719064256,0,0,0,0
1719064556,0,0,0,0
1719064856,0,0,0,0
1719065156,0,0,0,0
1719065456,0,0,0,0
1719065756,0,0,0,0
1719066056,0,0,0,0
1719066356,0,0,0,0
1719066656,0,0,0,0
1719066956,0,0,0,0
1719067256,0,0,0,0
1719067556,0,0,0,0
1719067856,0,0,0,0
1719068156,0,0,0,0
1719068456,0,0,0,0
1719068756,0,0,0,0
1719069056,0,0,0,0
1719069356,0,0,0,0
1719069656,0,0,0,0
1719069956,0,0,0,0
1719070256,0,0,0,0
1719070556,0,0,0,0
1719070856,0,0,0,0
1719071156,0,0,0,0
1719071456,0,0,0,0
1719071756,0,0,0,0
1719072056,0,0,0,0
1719072356,0,0,0,0
1719072656,0,0,0,0
1719072956,0,0,0,0
1719073256,0,0,0,0
1719073556,0,0,0,0
1719073856,0,0,0,0
1719074156,0,0,0,0
1719074456,0,0,0,0
1719074756,0,0,0,0
1719075056,0,0,0,0
1719075356,0,0,0,0
1719075656,0,0,0,0
1719075956,0,0,0,0
1719076256,0,0,0,0
1719076556,0,0,0,0
1719076856,0,0,0,0
1719077156,0,0,0,0
1719077456,0,0,0,0
1719077756,0,0,0,0
1719078056,0,0,0,0
1719078356,0,0,0,0
1719078656,0,0,0,0
1719078956,0,0,0,0
1719079256,0,0,0,0
1719079556,0,0,0,0
1719079856,0,0,0,0
1719080156,0,0,0,0
1719080456,0,0,0,0
1719080756,0,0,0,0
1719081056,0,0,0,0
1719081356,0,0,0,0
