ts,cpu_request,mem_request,oom,nodeid
1720237289,0.009,8708195,1,0
1720237290,0.009,109056522,1,0
1720237291,0.009,213418782,0,0
1720237292,0.009,213418782,0,0
1720237293,0.009,213418782,0,0
1720237294,0.009,213418782,0,0
1720237295,0.009,213418782,0,0
1720237296,0.009,213418782,0,0
1720237297,0.009,213418782,0,0
1720237298,0.009,213418782,0,0
1720237299,0.009,213418782,0,0
1720237300,0.009,213418782,0,0
1720237301,0.009,213418782,0,0
1720237302,0.009,213418782,0,0
1720237303,0.009,213418782,0,0
1720237304,0.009,213418782,0,0
1720237305,0.009,213418782,0,0
1720237306,0.009,213418782,0,0
1720237307,0.009,213418782,0,0
1720237308,0.009,213418782,0,0
1720237309,0.009,213418782,0,0
1720237310,0.009,213418782,0,0
1720237311,0.009,213418782,0,0
1720237312,0.009,213418782,0,0
1720237313,0.009,213418782,0,0
1720237314,0.009,213418782,0,0
1720237315,0.009,213418782,0,0
1720237316,0.009,213418782,0,0
1720237317,0.009,213418782,0,0
1720237318,0.009,213418782,0,0
1720237319,0.009,213418782,0,0
1720237320,0.009,213418782,0,0
1720237321,0.009,213418782,0,0
1720237322,0.516,182872095,0,0
1720237323,0.516,182872095,0,0
1720237324,0.516,182872095,0,0
1720237325,0.516,182872095,0,0
1720237326,0.516,182872095,0,0
1720237327,0.516,182872095,0,0
1720237328,0.516,182872095,0,0
1720237329,0.516,182872095,0,0
1720237330,0.516,182872095,0,0
1720237331,0.516,182872095,0,0
1720237332,0.516,182872095,0,0
1720237333,0.516,182872095,0,0
1720237334,0.516,182872095,0,0
1720237335,0.516,182872095,0,0
1720237336,0.516,182872095,0,0
1720237337,0.516,182872095,0,0
1720237338,0.516,182872095,0,0
1720237339,0.516,182872095,0,0
1720237340,0.516,182872095,0,0
1720237341,0.516,182872095,0,0
1720237342,0.516,182872095,0,0
1720237343,0.516,182872095,0,0
1720237344,0.516,182872095,0,0
1720237345,0.516,182872095,0,0
1720237346,0.516,182872095,0,0
1720237347,0.516,182872095,0,0
1720237348,0.516,182872095,0,0
1720237349,0.516,182872095,0,0
1720237350,0.516,182872095,0,0
1720237351,0.516,182872095,0,0
1720237352,0.516,182872095,0,0
1720237353,0.516,182872095,0,0
1720237354,0.516,182872095,0,0
1720237355,0.516,182872095,0,0
1720237356,0.516,182872095,0,0
1720237357,0.516,182872095,0,0
1720237358,0.516,182872095,0,0
1720237359,0.516,182872095,0,0
1720237360,0.516,182872095,0,0
1720237361,0.516,182872095,0,0
1720237362,0.516,182872095,0,0
1720237363,0.516,182872095,0,0
1720237364,0.516,182872095,0,0
1720237365,0.516,182872095,0,0
1720237366,0.516,182872095,0,0
1720237367,0.516,182872095,0,0
1720237368,0.516,182872095,0,0
1720237369,0.516,182872095,0,0
1720237370,0.516,182872095,0,0
1720237371,0.516,182872095,0,0
1720237372,0.516,182872095,0,0
1720237373,0.516,182872095,0,0
1720237374,0.516,182872095,0,0
1720237375,0.516,182872095,0,0
1720237376,0.516,182872095,0,0
1720237377,0.516,182872095,0,0
1720237378,0.516,182872095,0,0
1720237379,0.516,182872095,0,0
1720237380,0.516,182872095,0,0
1720237381,0.516,182872095,0,0
1720237382,0.516,182872095,0,0
1720237383,0.516,182872095,0,0
1720237384,0.516,182872095,0,0
1720237385,0.516,182872095,0,0
1720237386,0.516,182872095,0,0
1720237387,0.516,182872095,0,0
1720237388,0.516,182872095,0,0
1720237389,0.516,182872095,0,0
1720237390,0.516,182872095,0,0
1720237391,0.516,182872095,0,0
1720237392,0.516,182872095,0,0
1720237393,0.516,182872095,0,0
1720237394,0.516,182872095,0,0
1720237395,0.516,182872095,0,0
1720237396,0.516,182872095,0,0
1720237397,0.516,182872095,0,0
1720237398,0.516,182872095,0,0
1720237399,0.516,182872095,0,0
1720237400,0.516,182872095,0,0
1720237401,0.516,182872095,0,0
1720237402,0.516,182872095,0,0
1720237403,0.516,182872095,0,0
1720237404,0.516,182872095,0,0
1720237405,0.516,182872095,0,0
1720237406,0.516,182872095,0,0
1720237407,0.516,182872095,0,0
1720237408,0.516,182872095,0,0
1720237409,0.516,182872095,0,0
1720237410,0.516,182872095,0,0
1720237411,0.516,182872095,0,0
1720237412,0.516,182872095,0,0
1720237413,0.516,182872095,0,0
1720237414,0.516,182872095,0,0
1720237415,0.516,182872095,0,0
1720237416,0.516,182872095,0,0
1720237417,0.516,182872095,0,0
1720237418,0.516,182872095,0,0
1720237419,0.516,182872095,0,0
1720237420,0.516,182872095,0,0
1720237421,0.516,182872095,0,0
1720237422,0.516,182872095,0,0
1720237423,0.516,182872095,0,0
1720237424,0.516,182872095,0,0
1720237425,0.516,182872095,0,0
1720237426,0.516,182872095,0,0
1720237427,0.516,182872095,0,0
1720237428,0.516,182872095,0,0
1720237429,0.516,182872095,0,0
