ts,cpu_request,mem_request,oom,nodeid
1718786104,0,0,0,0
1718786404,0,0,0,0
1718786704,0,0,0,0
1718787004,0,0,0,0
1718787304,0,0,0,0
1718787604,0,0,0,0
1718787904,0,0,0,0
1718788204,0,0,0,0
1718788504,0,0,0,0
1718788804,0,0,0,0
1718789104,0,0,0,0
1718789404,0,0,0,0
1718789704,0,0,0,0
1718790004,0,0,0,0
1718790304,0,0,0,0
1718790604,0,0,0,0
1718790904,0,0,0,0
1718791204,0,0,0,0
1718791504,0,0,0,0
1718791804,0,0,0,0
1718792104,0,0,0,0
1718792404,0,0,0,0
1718792704,0,0,0,0
1718793004,0,0,0,0
1718793304,0,0,0,0
1718793604,0,0,0,0
1718793904,0,0,0,0
1718794204,0,0,0,0
1718794504,0,0,0,0
1718794804,0,0,0,0
1718795104,0,0,0,0
1718795404,0,0,0,0
1718795704,0,0,0,0
1718796004,0,0,0,0
1718796304,0,0,0,0
1718796604,0,0,0,0
1718796904,0,0,0,0
1718797204,0,0,0,0
1718797504,0,0,0,0
1718797804,0,0,0,0
1718798104,0,0,0,0
1718798404,0,0,0,0
1718798704,0,0,0,0
1718799004,0,0,0,0
1718799304,0,0,0,0
1718799604,0,0,0,0
1718799904,0,0,0,0
1718800204,0,0,0,0
1718800504,0,0,0,0
1718800804,0,0,0,0
1718801104,0,0,0,0
1718801404,0,0,0,0
1718801704,0,0,0,0
1718802004,0,0,0,0
1718802304,0,0,0,0
1718802604,0,0,0,0
1718802904,0,0,0,0
1718803204,0,0,0,0
1718803504,0,0,0,0
1718803804,0,0,0,0
1718804104,0,0,0,0
1718804404,0,0,0,0
1718804704,0,0,0,0
1718805004,0,0,0,0
1718805304,0,0,0,0
1718805604,0,0,0,0
1718805904,0,0,0,0
1718806204,0,0,0,0
1718806504,0,0,0,0
1718806804,0,0,0,0
1718807104,0,0,0,0
1718807404,0,0,0,0
1718807704,0,0,0,0
1718808004,0,0,0,0
1718808304,0,0,0,0
1718808604,0,0,0,0
1718808904,0,0,0,0
1718809204,0,0,0,0
1718809504,0,0,0,0
1718809804,0,0,0,0
1718810104,0,0,0,0
1718810404,0,0,0,0
1718810704,0,0,0,0
1718811004,0,0,0,0
1718811304,0,0,0,0
1718811604,0,0,0,0
1718811904,0,0,0,0
1718812204,0,0,0,0
1718812504,0,0,0,0
1718812804,0,0,0,0
1718813104,0,0,0,0
1718813404,0,0,0,0
1718813704,0,0,0,0
1718814004,0,0,0,0
1718814304,0,0,0,0
1718814604,0,0,0,0
1718814904,0,0,0,0
1718815204,0,0,0,0
1718815504,0,0,0,0
1718815804,0,0,0,0
1718816104,0,0,0,0
1718816404,0,0,0,0
1718816704,0,0,0,0
1718817004,0,0,0,0
1718817304,0,0,0,0
1718817604,0,0,0,0
1718817904,0,0,0,0
1718818204,0,0,0,0
1718818471,0,0,0,0
1718818472,0,0,0,0
1718818504,0,0,0,0
1718818804,0,0,0,0
1718819104,0,0,0,0
1718819404,0,0,0,0
1718819704,0,0,0,0
1718820004,0,0,0,0
1718820304,0,0,0,0
1718820604,0,0,0,0
1718820904,0,0,0,0
1718821204,0,0,0,0
1718821504,0,0,0,0
1718821804,0,0,0,0
1718822104,0,0,0,0
1718822404,0,0,0,0
1718822704,0,0,0,0
1718823004,0,0,0,0
1718823304,0,0,0,0
1718823604,0,0,0,0
1718823904,0,0,0,0
1718824204,0,0,0,0
1718824504,0,0,0,0
1718824804,0,0,0,0
1718825104,0,0,0,0
1718825404,0,0,0,0
1718825704,0,0,0,0
1718826004,0,0,0,0
1718826304,0,0,0,0
1718826604,0,0,0,0
1718826904,0,0,0,0
1718827204,0,0,0,0
1718827504,0,0,0,0
1718827804,0,0,0,0
1718828104,0,0,0,0
1718828404,0,0,0,0
1718828704,0,0,0,0
1718829004,0,0,0,0
1718829304,0,0,0,0
1718829604,0,0,0,0
1718829904,0,0,0,0
1718830204,0,0,0,0
1718830504,0,0,0,0
1718830804,0,0,0,0
1718831104,0,0,0,0
1718831404,0,0,0,0
1718831704,0,0,0,0
1718832004,0,0,0,0
1718832304,0,0,0,0
1718832604,0,0,0,0
1718832904,0,0,0,0
1718833204,0,0,0,0
1718833504,0,0,0,0
1718833804,0,0,0,0
1718834104,0,0,0,0
1718834404,0,0,0,0
1718834704,0,0,0,0
1718835004,0,0,0,0
1718835304,0,0,0,0
1718835604,0,0,0,0
1718835904,0,0,0,0
1718836204,0,0,0,0
1718836504,0,0,0,0
1718836804,0,0,0,0
1718837104,0,0,0,0
1718837404,0,0,0,0
1718837704,0,0,0,0
1718838004,0,0,0,0
1718838304,0,0,0,0
1718838604,0,0,0,0
1718838904,0,0,0,0
1718839204,0,0,0,0
1718839504,0,0,0,0
1718839804,0,0,0,0
1718840104,0,0,0,0
1718840404,0,0,0,0
1718840704,0,0,0,0
1718841004,0,0,0,0
1718841304,0,0,0,0
1718841604,0,0,0,0
1718841904,0,0,0,0
1718842204,0,0,0,0
1718842504,0,0,0,0
1718842804,0,0,0,0
