ts,cpu_request,mem_request,oom,nodeid
1719188777,0.193,174715219,0,0
1719188778,0.193,174715219,0,0
1719188779,0.193,174715219,0,0
1719188780,0.193,174715219,0,0
1719188781,0.193,174715219,0,0
1719188782,0.193,174715219,0,0
1719188783,0.193,174715219,0,0
1719188784,0.193,174715219,0,0
1719188785,0.193,174715219,0,0
1719188786,0.193,174715219,0,0
1719188787,0.193,174715219,0,0
1719188788,0.193,174715219,0,0
1719188789,0.193,174715219,0,0
1719188790,0.193,174715219,0,0
1719188791,0.193,174715219,0,0
1719188792,0.193,174715219,0,0
1719188793,0.193,174715219,0,0
1719188794,0.193,174715219,0,0
1719188795,0.193,174715219,0,0
1719188796,0.193,174715219,0,0
1719188797,0.193,174715219,0,0
1719188798,0.193,174715219,0,0
1719188799,0.193,174715219,0,0
1719188800,0.193,174715219,0,0
1719188801,0.193,174715219,0,0
1719188802,0.193,174715219,0,0
1719188803,0.193,174715219,0,0
1719188804,0.193,174715219,0,0
1719188805,0.193,174715219,0,0
1719188806,0.193,174715219,0,0
1719188807,0.193,174715219,0,0
1719188808,0.193,174715219,0,0
1719188809,0.193,174715219,0,0
1719188810,0.193,174715219,0,0
1719188811,0.193,174715219,0,0
1719188812,0.193,174715219,0,0
1719188813,0.193,174715219,0,0
1719188814,0.193,174715219,0,0
1719188815,0.193,174715219,0,0
1719188816,0.193,174715219,0,0
1719188817,0.193,174715219,0,0
1719188818,0.193,174715219,0,0
1719188819,0.193,174715219,0,0
1719188820,0.193,174715219,0,0
1719188821,0.193,174715219,0,0
1719188822,0.193,174715219,0,0
1719188823,0.193,174715219,0,0
1719188824,0.193,174715219,0,0
1719188825,0.193,174715219,0,0
1719188826,0.193,174715219,0,0
1719188827,0.193,174715219,0,0
1719188828,0.193,174715219,0,0
1719188829,0.193,174715219,0,0
1719188830,0.193,174715219,0,0
1719188831,0.193,174715219,0,0
1719188832,0.193,174715219,0,0
1719188833,0.193,174715219,0,0
1719188834,0.193,174715219,0,0
1719188835,0.193,174715219,0,0
1719188836,0.193,174715219,0,0
1719188837,0.193,174715219,0,0
1719188838,0.193,174715219,0,0
1719188839,0.193,174715219,0,0
1719188840,0.193,174715219,0,0
1719188841,0.193,174715219,0,0
1719188842,0.193,174715219,0,0
1719188843,0.193,174715219,0,0
1719188844,0.193,174715219,0,0
1719188845,0.193,174715219,0,0
1719188846,0.193,174715219,0,0
1719188847,0.193,174715219,0,0
1719188848,0.193,174715219,0,0
1719188849,0.193,174715219,0,0
1719188850,0.193,174715219,0,0
1719188851,0.193,174715219,0,0
1719188852,0.193,174715219,0,0
1719188853,0.193,174715219,0,0
1719188854,0.193,174715219,0,0
1719188855,0.193,174715219,0,0
1719188856,0.193,174715219,0,0
1719188857,0.193,174715219,0,0
1719188858,0.193,174715219,0,0
1719188859,0.193,174715219,0,0
1719188860,0.193,174715219,0,0
1719188861,0.193,174715219,0,0
1719188862,0.193,174715219,0,0
1719188863,0.193,174715219,0,0
1719188864,0.193,174715219,0,0
1719188865,0.193,174715219,0,0
1719188866,0.193,174715219,0,0
1719188867,0.193,174715219,0,0
1719188868,0.193,174715219,0,0
1719188869,0.193,174715219,0,0
1719188870,0.193,174715219,0,0
1719188871,0.193,174715219,0,0
1719188872,0.193,174715219,0,0
1719188873,0.193,174715219,0,0
1719188874,0.193,174715219,0,0
1719188875,0.193,174715219,0,0
1719188876,0.193,174715219,0,0
1719188877,0.193,174715219,0,0
1719188878,0.193,174715219,0,0
1719188879,0.193,174715219,0,0
1719188880,0.193,174715219,0,0
1719188881,0.193,174715219,0,0
1719188882,0.193,174715219,0,0
1719188883,0.193,174715219,0,0
1719188884,0.193,174715219,0,0
1719188885,0.193,174715219,0,0
1719188886,0.193,174715219,0,0
1719188887,0.193,174715219,0,0
1719188888,0.193,174715219,0,0
1719188889,0.193,174715219,0,0
1719188890,0.193,174715219,0,0
1719188891,0.193,174715219,0,0
1719188892,0.193,174715219,0,0
1719188893,0.193,174715219,0,0
1719188894,0.193,174715219,0,0
1719188895,0.193,174715219,0,0
1719188896,0.193,174715219,0,0
1719188897,0.193,174715219,0,0
1719188898,0.193,174715219,0,0
1719188899,0.193,174715219,0,0
1719188900,0.193,174715219,0,0
1719188901,0.193,174715219,0,0
1719188902,0.193,174715219,0,0
1719188903,0.193,174715219,0,0
1719188904,0.193,174715219,0,0
1719188905,0.193,174715219,0,0
1719188906,0.193,174715219,0,0
1719188907,0.193,174715219,0,0
1719188908,0.193,174715219,0,0
1719188909,0.193,174715219,0,0
1719188910,0.193,174715219,0,0
1719188911,0.193,174715219,0,0
1719188912,0.193,174715219,0,0
1719188913,0.193,174715219,0,0
1719188914,0.193,174715219,0,0
1719188915,0.193,174715219,0,0
1719188916,0.193,174715219,0,0
1719188917,0.193,174715219,0,0
1719188918,0.193,174715219,0,0
1719188919,0.193,174715219,0,0
1719188920,0.193,174715219,0,0
1719188921,0.193,174715219,0,0
1719188922,0.193,174715219,0,0
1719188923,0.193,174715219,0,0
1719188924,0.193,174715219,0,0
1719188925,0.193,174715219,0,0
1719188926,0.193,174715219,0,0
1719188927,0.193,174715219,0,0
1719188928,0.193,174715219,0,0
1719188929,0.193,174715219,0,0
1719188930,0.193,174715219,0,0
1719188931,0.193,174715219,0,0
1719188932,0.193,174715219,0,0
1719188933,0.193,174715219,0,0
1719188934,0.193,174715219,0,0
1719188935,0.193,174715219,0,0
1719188936,0.193,174715219,0,0
1719188937,0.193,174715219,0,0
1719188938,0.193,174715219,0,0
1719188939,0.193,174715219,0,0
1719188940,0.193,174715219,0,0
1719188941,0.193,174715219,0,0
1719188942,0.193,174715219,0,0
1719188943,0.193,174715219,0,0
1719188944,0.193,174715219,0,0
1719188945,0.193,174715219,0,0
1719188946,0.193,174715219,0,0
1719188947,0.193,174715219,0,0
1719188948,0.193,174715219,0,0
1719188949,0.193,174715219,0,0
1719188950,0.193,174715219,0,0
1719188951,0.193,174715219,0,0
1719188952,0.193,174715219,0,0
1719188953,0.193,174715219,0,0
1719188954,0.193,174715219,0,0
1719188955,0.193,174715219,0,0
1719188956,0.193,174715219,0,0
1719188957,0.193,174715219,0,0
